datetime,local,cuota_local,cuota_empate,cuota_visitante,visitante,fecha,hora
2023-11-12 00:15:49.569000,Atlético Nacional,2.10,3.40,3.40,Millonarios,12 Nov,14:00
2023-11-12 00:15:49.721670,América de Cali,2.00,3.55,3.65,Independiente Medellin,12 Nov,16:30
2023-11-12 00:15:49.793354,Deportivo Cali,2.30,3.35,3.10,Rionegro Aguilas,13 Nov,14:00
2023-11-12 00:15:49.895048,Tolima,2.05,3.35,3.70,CD Junior,13 Nov,16:30
2023-11-12 11:17:12.674645,Atlético Nacional,2.35,3.40,3.10,Millonarios,12 Nov,14:00
2023-11-12 11:17:12.867078,América de Cali,2.05,3.60,3.65,Independiente Medellin,12 Nov,16:30
2023-11-12 11:17:12.937720,Deportivo Cali,2.40,3.35,3.00,Rionegro Aguilas,13 Nov,14:00
2023-11-12 11:17:13.020668,Tolima,2.05,3.40,3.80,CD Junior,13 Nov,16:30
2023-11-12 13:44:52.640714,Atlético Nacional,2.40,3.30,3.10,Millonarios,12 Nov,14:00
2023-11-12 13:44:52.721562,América de Cali,2.05,3.60,3.65,Independiente Medellin,12 Nov,16:30
2023-11-12 13:44:52.824677,Deportivo Cali,2.375,3.40,3.10,Rionegro Aguilas,13 Nov,14:00
2023-11-12 13:44:52.912626,Tolima,2.05,3.40,3.80,CD Junior,13 Nov,16:30
2023-11-12 14:25:07.012531,América de Cali,2.05,3.60,3.65,Independiente Medellin,12 Nov,16:30
2023-11-12 14:25:07.125378,Deportivo Cali,2.375,3.40,3.10,Rionegro Aguilas,13 Nov,14:00
2023-11-12 14:25:07.303808,Tolima,2.05,3.40,3.80,CD Junior,13 Nov,16:30
2023-11-12 20:28:52.863833,Deportivo Cali,2.375,3.40,3.10,Rionegro Aguilas,13 Nov,14:00
2023-11-12 20:28:52.925833,Tolima,2.15,3.40,3.65,CD Junior,13 Nov,16:30
2023-11-12 20:28:52.983117,Millonarios,2.00,3.20,4.00,América de Cali,19 Nov,13:00
2023-11-12 20:28:53.040752,Independiente Medellin,1.85,3.50,4.20,Atlético Nacional,19 Nov,15:30
2023-11-13 08:50:51.505810,Deportivo Cali,2.55,3.25,2.95,Rionegro Aguilas,13 Nov,14:00
2023-11-13 08:50:51.567299,Tolima,2.30,3.20,3.35,CD Junior,13 Nov,16:30
2023-11-13 08:50:51.623478,Rionegro Aguilas,2.20,3.20,3.60,Tolima,18 Nov,14:00
2023-11-13 08:50:51.677537,CD Junior,1.70,3.75,5.50,Deportivo Cali,18 Nov,16:30
2023-11-13 08:50:51.732573,Millonarios,2.10,3.20,4.20,América de Cali,19 Nov,13:00
2023-11-13 08:50:51.788046,Independiente Medellin,1.90,3.60,4.333,Atlético Nacional,19 Nov,15:30
2023-11-13 11:19:57.013673,Deportivo Cali,2.60,3.25,2.85,Rionegro Aguilas,13 Nov,14:00
2023-11-13 11:19:57.071538,Tolima,2.30,3.20,3.45,CD Junior,13 Nov,16:30
2023-11-13 11:19:57.126264,Rionegro Aguilas,2.20,3.20,3.65,Tolima,18 Nov,14:00
2023-11-13 11:19:57.180600,CD Junior,1.727,3.80,5.25,Deportivo Cali,18 Nov,16:30
2023-11-13 11:19:57.237161,Millonarios,2.10,3.20,4.20,América de Cali,19 Nov,13:00
2023-11-13 11:19:57.295006,Independiente Medellin,1.90,3.60,4.333,Atlético Nacional,19 Nov,15:30
2023-11-13 23:00:23.140614,Rionegro Aguilas,2.05,3.40,3.85,Tolima,18 Nov,14:00
2023-11-13 23:00:23.340925,CD Junior,1.727,3.80,5.25,Deportivo Cali,18 Nov,16:30
2023-11-13 23:00:23.406161,Millonarios,2.10,3.20,4.20,América de Cali,19 Nov,13:00
2023-11-13 23:00:23.481991,Independiente Medellin,2.20,3.40,3.40,Atlético Nacional,19 Nov,15:30
2023-11-14 08:51:32.108942,Rionegro Aguilas,2.05,3.40,3.85,Tolima,18 Nov,14:00
2023-11-14 08:51:32.169497,CD Junior,1.727,3.70,5.25,Deportivo Cali,18 Nov,16:30
2023-11-14 08:51:32.223833,Millonarios,2.10,3.20,4.20,América de Cali,19 Nov,13:00
2023-11-14 08:51:32.288609,Independiente Medellin,2.25,3.40,3.35,Atlético Nacional,19 Nov,15:30
2023-11-14 14:11:52.402932,Rionegro Aguilas,2.05,3.40,3.85,Tolima,18 Nov,14:00
2023-11-14 14:11:52.461538,CD Junior,1.727,3.70,5.25,Deportivo Cali,18 Nov,16:30
2023-11-14 14:11:52.707737,Millonarios,2.10,3.20,4.20,América de Cali,19 Nov,13:00
2023-11-14 14:11:52.762938,Independiente Medellin,2.25,3.40,3.35,Atlético Nacional,19 Nov,15:30
2023-11-15 08:54:23.261944,Rionegro Aguilas,1.95,3.50,4.00,Tolima,18 Nov,14:00
2023-11-15 08:54:23.334424,CD Junior,1.727,3.55,5.00,Deportivo Cali,18 Nov,16:30
2023-11-15 08:54:23.437369,Millonarios,2.10,3.25,3.65,América de Cali,19 Nov,13:00
2023-11-15 08:54:23.491863,Independiente Medellin,2.30,3.45,3.10,Atlético Nacional,19 Nov,15:30
2023-11-15 15:38:44.442688,Rionegro Aguilas,2.00,3.55,3.85,Tolima,18 Nov,14:00
2023-11-15 15:38:44.519913,CD Junior,1.727,3.55,5.00,Deportivo Cali,18 Nov,16:30
2023-11-15 15:38:44.612999,Millonarios,2.10,3.25,3.55,América de Cali,19 Nov,13:00
2023-11-15 15:38:44.671459,Independiente Medellin,2.35,3.35,3.20,Atlético Nacional,19 Nov,15:30
2023-11-16 10:04:28.447521,Rionegro Aguilas,1.95,3.55,4.00,Tolima,18 Nov,14:00
2023-11-16 10:04:28.572690,CD Junior,1.727,3.55,5.00,Deportivo Cali,18 Nov,16:30
2023-11-16 10:04:28.802256,Millonarios,2.20,3.30,3.55,América de Cali,19 Nov,13:00
2023-11-16 10:04:28.856689,Independiente Medellin,2.35,3.35,3.20,Atlético Nacional,19 Nov,15:30
2023-11-16 13:08:09.884094,Rionegro Aguilas,1.95,3.55,4.00,Tolima,18 Nov,14:00
2023-11-16 13:08:10.201890,CD Junior,1.75,3.65,5.25,Deportivo Cali,18 Nov,16:30
2023-11-16 13:08:10.265762,Millonarios,2.10,3.35,3.70,América de Cali,19 Nov,13:00
2023-11-16 13:08:10.334098,Independiente Medellin,2.15,3.45,3.45,Atlético Nacional,19 Nov,15:30
